id field ra dec z lmass uv vj
424.0 AEGIS 215.05401611 52.88599396 0.482 9.47 0.8208041250603216 0.8868199037488405
430.0 AEGIS 215.25071716 53.02542114 1.4883 9.42 0.626527608498952 0.3115583398308201
438.0 AEGIS 215.25894165 53.0312233 1.7035 10.28 0.9826334164910144 0.9679254545031934
439.0 AEGIS 215.0920105 52.91410828 2.5103 10.65 1.9733173225505003 1.13439592915451
444.0 AEGIS 215.23088074 53.01148987 1.8225 9.76 0.7508781100929707 0.6859662090377328
447.0 AEGIS 215.10780334 52.92481995 1.7904 10.77 1.7489637136046652 1.1387554161645408
455.0 AEGIS 215.1837616 52.97871017 2.0248 9.52 0.7458049624024826 0.4128635075662541
469.0 AEGIS 215.10366821 52.92235565 1.3513 9.46 0.6249880939270565 0.5871100761010507
478.0 AEGIS 215.16183472 52.96319199 1.9549 10.57 1.201255406752866 1.1716952085888077
486.0 AEGIS 215.21102905 52.99674606 1.2515 10.76 1.9137231422239602 1.1688824782750076
489.0 AEGIS 215.12686157 52.93917084 2.1602 9.55 0.8621533787814695 0.3794670344263912
504.0 AEGIS 215.26695251 53.03700638 1.8436 10.51 1.4800826218173841 0.6696415399079957
531.0 AEGIS 215.09040833 52.91342163 2.0988 11.14 1.6388267317535041 1.983331244559977
537.0 AEGIS 215.1436615 52.95139313 1.7594 9.7 1.0974941882434726 1.803615039186404
540.0 AEGIS 215.25892639 53.03236771 1.7474 9.85 1.2142591988398608 1.0901333994792322
544.0 AEGIS 215.26225281 53.03450394 0.9073 9.43 0.8699178486672416 0.8059603693552954
545.0 AEGIS 215.24382019 53.02181625 2.4493 9.45 0.6784867019926664 0.05402778009241119
561.0 AEGIS 215.06515503 52.89603424 2.4381 9.89 0.6780554544617551 0.05322840453887374
567.0 AEGIS 215.10823059 52.92625809 1.3861 10.0 1.1115586747122204 1.221548604539113
576.0 AEGIS 215.16075134 52.96220398 0.6667 9.66 1.865338472482111 1.551727456269247
577.0 AEGIS 215.26620483 53.03733826 1.6303 10.41 1.7041047045466233 1.3751122087805323
584.0 AEGIS 215.15983582 52.96337128 1.9557 9.81 1.3790512539497557 0.7235738450357905
596.0 AEGIS 215.21037292 52.99888229 1.7003 9.97 1.5941713865255325 1.6127765416790698
613.0 AEGIS 215.0333252 52.87270355 1.2414 10.22 0.8941739222996965 0.9291792835488364
616.0 AEGIS 215.30334473 53.06416702 2.0923 10.03 0.6341985512353208 1.667382424199901
629.0 AEGIS 215.30078125 53.06240463 1.9001 9.54 0.6205334489815029 0.5264207394304881
639.0 AEGIS 215.07452393 52.90373993 1.6577 9.42 0.4268293809001853 1.0578884487895477
642.0 AEGIS 215.14471436 52.95271683 1.6051 9.79 0.838959425067082 0.6318568710337304
643.0 AEGIS 215.26052856 53.03423309 1.4466 9.84 1.1629688423651776 1.450721870867127
650.0 AEGIS 215.1010437 52.92013931 1.2034 9.66 0.8968517455305524 0.5335214102134399
656.0 AEGIS 215.28184509 53.04965973 2.4036 9.62 0.9730275335935785 0.8817174774945606
668.0 AEGIS 215.18057251 52.97768402 1.6187 9.93 1.049728653972717 0.9023812503572187
678.0 AEGIS 214.94076538 52.80929947 1.9862 10.56 1.8275498010573434 1.5847797421984127
679.0 AEGIS 215.03048706 52.87125778 0.7724 10.64 1.5370498404184145 1.4432871238138387
682.0 AEGIS 215.30003357 53.06196213 1.9999 9.68 0.7007006981287324 0.4622342685651766
683.0 AEGIS 215.03282166 52.87348557 1.6587 10.61 1.5214118616514463 0.8834389328370561
685.0 AEGIS 215.18655396 52.98155212 1.1258 10.59 1.4887593175555025 1.707635499781968
699.0 AEGIS 215.19122314 52.98644638 2.5891 9.87 0.791418602854427 1.3123802446519648
703.0 AEGIS 215.10710144 52.9253006 1.4336 10.93 1.386707592728858 1.1059914577315946
713.0 AEGIS 215.13101196 52.94422913 1.8183 9.51 0.888136770604193 1.0143044139059139
725.0 AEGIS 215.17976379 52.97811127 2.1576 10.17 0.9851005294781822 0.6780645262732501
728.0 AEGIS 215.15995789 52.96376038 1.9049 10.95 1.782438359413204 1.322140019470459
733.0 AEGIS 215.2286377 53.0116539 1.1786 10.64 1.312774379513416 1.5245509844840042
739.0 AEGIS 215.2106781 52.99954605 1.2185 10.57 1.9842367231312208 1.241620047654855
741.0 AEGIS 215.06632996 52.89809418 1.5897 10.34 1.128340265104804 1.1053656894818995
748.0 AEGIS 215.10540771 52.92542648 1.9648 9.53 0.41707950640291336 0.5715806435994238
751.0 AEGIS 215.27890015 53.04613495 0.8257 10.64 1.0845663633384863 1.3953814528845059
759.0 AEGIS 214.99443054 52.84745026 1.2393 9.52 0.7905337128664693 0.4169042053880275
766.0 AEGIS 215.1605835 52.96406174 1.9801 11.05 1.6143610049533081 1.7700123453497651
769.0 AEGIS 215.02815247 52.87201691 1.8148 9.6 0.9220795940536135 1.418821295550778
772.0 AEGIS 215.06822205 52.89846802 0.5079 9.72 1.729534189976515 1.2182904625430886
773.0 AEGIS 215.15670776 52.9610405 0.4937 9.69 1.6505897450951252 1.265670483227742
775.0 AEGIS 215.24687195 53.02454758 0.6171 9.57 0.9736444465687267 0.914457367285887
776.0 AEGIS 215.04872131 52.88610077 1.1138 9.43 0.8140147595365976 0.7382345996247487
779.0 AEGIS 215.14167786 52.95107651 2.0565 10.51 1.360323766112157 2.095191428336306
790.0 AEGIS 215.24967957 53.02734756 1.979 10.7 1.6175052239266574 0.8762116802012392
812.0 AEGIS 215.15596008 52.96219254 2.0539 9.63 0.7332713409767531 0.3918853699435545
818.0 AEGIS 215.03269958 52.87388229 1.6999 10.17 0.8683434476258245 0.5386095409074951
829.0 AEGIS 215.20967102 52.99987793 1.733 9.43 0.5865902376174641 0.6425899955413971
836.0 AEGIS 215.08877563 52.91453171 1.5644 9.47 0.5460473155643485 0.3655698412254612
840.0 AEGIS 215.02069092 52.86531448 0.4484 9.52 0.7684704107719589 0.7713923096589347
841.0 AEGIS 215.13427734 52.94628143 1.1893 10.37 1.412305165097478 0.9211154875477435
854.0 AEGIS 215.13523865 52.94364548 0.8152 10.83 1.6863940169172362 2.047510725446549
863.0 AEGIS 215.24325562 53.02338409 1.6574 9.75 0.9092115519985121 0.5648218907379077
870.0 AEGIS 215.26040649 53.03479004 0.6597 10.0 1.724938961519672 1.5597403718621408
873.0 AEGIS 215.2519989 53.02885818 0.6856 9.53 0.776283582402826 0.6433355772287254
875.0 AEGIS 215.28746033 53.05451965 1.7164 9.91 0.7354984156028261 0.6871226581882721
877.0 AEGIS 215.07154846 52.90274811 1.0739 9.69 1.1371851637890664 1.0993115179101127
879.0 AEGIS 215.22808838 53.01345825 2.4022 10.44 1.4261153780304292 1.0556327397942886
880.0 AEGIS 215.10443115 52.92575836 1.8321 9.79 0.7794465690271463 0.6684779721235388
884.0 AEGIS 214.97424316 52.83320236 1.4481 10.03 0.6991383077065665 0.26821448674896664
897.0 AEGIS 215.24020386 53.02108002 1.8934 10.22 0.9093008335792967 0.6449526730076539
903.0 AEGIS 215.13887024 52.94895554 1.5451 10.3 0.9146602561798368 0.7141939282372041
910.0 AEGIS 215.0891571 52.91473389 1.0669 9.69 0.7965189216194526 0.6220980954348011
911.0 AEGIS 215.13046265 52.9444809 1.1595 9.74 0.8370757526174646 0.789311345752939
