id field z lmass uv vj densityrr1 densitybr1 densityrr2 densitybr2 densityrr3 densitybr3 densityrr4 densitybr4 densityrr5 densitybr5 densityrr6 densitybr6 densityrr7 densitybr7 densityrr8 densitybr8 densityrr9 densitybr9 densityrr10 densitybr10 densityrr11 densitybr11 densityrr12 densitybr12 densityrr13 densitybr13 randrr1 randbr1 randrr2 randbr2 randrr3 randbr3 randrr4 randbr4 randrr5 randbr5 randrr6 randbr6 randrr7 randbr7 randrr8 randbr8 randrr9 randbr9 randrr10 randbr10 randrr11 randbr11 randrr12 randbr12 randrr13 randbr13
531.0 AEGIS 2.0988 11.14 1.6388267317535041 1.983331244559977 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.3986748523612645e-06 0.0 1.5915494309189535e-06 2.5344289629566913e-07 3.0413147555480297e-06 5.044871717057609e-07 3.884551222134359e-06 4.016799210166341e-07 3.836043245708856e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.957747154594767e-06 3.168036203695864e-06 3.168036203695864e-06 1.261217929264402e-06 8.828525504850814e-06 1.0041998025415833e-06 7.0293986177910826e-06 7.995582841204214e-07 4.597460133692423e-06 5.570423008216338e-07 4.45633840657307e-06 4.7520543055437965e-07 3.801643444435037e-06 3.1530448231610055e-07 2.8125159822596168e-06 1.6067196840665365e-07 1.6820346692571554e-06
766.0 AEGIS 1.9801 11.05 1.6143610049533081 1.7700123453497651 0.0012672144814783468 0.0 0.000504487171705762 0.0 0.00040167992101663405 0.00020083996050831703 0.0001599116568240845 7.995582841204225e-05 6.366197723675813e-05 3.183098861837907e-05 2.534428962956691e-05 2.534428962956691e-05 1.0089743434115216e-05 1.5134615151172825e-05 4.016799210166333e-06 8.033598420332667e-06 1.5991165682408428e-06 1.11938159776859e-05 9.54929658551372e-07 7.321127382227186e-06 1.0137715851826765e-06 5.955908062948224e-06 7.567307575586414e-07 5.498910171592794e-06 6.82855865728278e-07 3.99671521411551e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.020999012707917e-07 3.997791420602107e-07 1.3992269972107374e-06 1.5915494309189535e-07 1.1140846016432675e-06 1.5840181018479322e-07 1.1088126712935524e-06 1.5134615151172826e-07 8.197916540218615e-07 1.2050397630499022e-07 1.0092208015542933e-06
1420.0 AEGIS 1.873 11.12 1.7573768411620414 1.653644882538054 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.995582841204214e-07 3.183098861837907e-07 3.5014087480216976e-06 3.801643444435037e-07 3.6749219962872025e-06 5.044871717057609e-07 3.1782691817462937e-06 6.627718696774463e-07 3.2937753523363996e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.783653787793206e-06 5.020999012707917e-07 1.5062997038123749e-06 1.9988957103010535e-07 1.3992269972107374e-06 1.5915494309189535e-07 1.1140846016432675e-06 2.217625342587105e-07 1.7107395499957666e-06 2.3963140656023643e-07 1.3621153636055544e-06 1.707139664320695e-07 8.786748272238871e-07
1606.0 AEGIS 2.4534 11.11 1.0086001268942186 1.1200990457207325 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.044871717057608e-06 0.0 2.0083996050831666e-06 2.0083996050831666e-06 7.995582841204214e-07 7.995582841204215e-06 3.183098861837907e-07 6.684507609859605e-06 1.2672144814783456e-07 6.336072407391729e-06 5.044871717057609e-07 6.356538363492587e-06 4.016799210166341e-07 4.9406630285046e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.522435858528804e-06 0.0 3.0125994076247497e-06 1.9988957103010535e-07 2.198785281331159e-06 2.38732414637843e-07 1.9894367886486917e-06 1.2672144814783456e-07 1.5523377398109734e-06 1.0089743434115217e-07 1.3999519014834865e-06 1.4058797235582194e-07 1.5263836998632098e-06
2016.0 AEGIS 1.9839 11.0 1.7702863220431553 1.2081094271421082 0.0 0.0 0.0 0.0 0.0 0.00020083996050831703 0.0 7.995582841204225e-05 0.0 3.183098861837907e-05 0.0 1.2672144814783456e-05 0.0 1.0089743434115216e-05 0.0 1.0041998025415833e-05 1.5991165682408428e-06 6.396466272963371e-06 1.5915494309189535e-06 3.183098861837907e-06 1.0137715851826765e-06 5.449022270356887e-06 1.1098717777526739e-06 5.398012737251641e-06 5.623518894232877e-07 3.6352032852005388e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.9988957103010564e-05 0.0 7.957747154594767e-06 0.0 6.336072407391728e-06 1.261217929264402e-06 3.783653787793206e-06 1.5062997038123749e-06 3.5146993088955413e-06 9.994478551505268e-07 2.9983435654515805e-06 7.16197243913529e-07 3.899296105751436e-06 3.801643444435037e-07 3.1680362036958644e-06 4.2881409594989675e-07 2.724230727211109e-06 3.3138593483872316e-07 1.9632106139687994e-06
2250.0 AEGIS 1.1862 11.03 1.4656531754395714 1.2987235711028422 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.0179486868230432e-05 0.0 1.0041998025415833e-05 0.0 5.59690798884295e-06 6.366197723675814e-07 4.774648292756861e-06 7.603286888870074e-07 4.308529237026375e-06 1.1098717777526739e-06 5.246666585739913e-06 1.626803680117368e-06 4.679571079843788e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.522435858528804e-06 5.020999012707917e-07 3.5146993088955413e-06 7.995582841204214e-07 3.997791420602107e-06 7.16197243913529e-07 3.819718634205488e-06 8.87050137034842e-07 3.2313969277697815e-06 8.828525504850816e-07 2.825128161552261e-06 7.079608607918177e-07 2.17911357151524e-06
2289.0 AEGIS 1.6564 11.01 1.5100364142479736 1.3274307315413 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.2672144814783456e-05 5.044871717057608e-06 2.0179486868230432e-05 2.0083996050831666e-06 1.0041998025415833e-05 7.995582841204214e-07 1.0394257693565479e-05 1.5915494309189535e-06 8.276057040778557e-06 1.5206573777740149e-06 5.82918661480039e-06 1.4125640807761305e-06 5.80160247461625e-06 1.1849557669990706e-06 4.5590671035387975e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.044871717057608e-06 1.0041998025415833e-06 6.527298716520291e-06 7.995582841204214e-07 3.7979018495720017e-06 7.957747154594768e-07 3.5014087480216976e-06 6.652876027761315e-07 3.104675479621947e-06 6.179967853395571e-07 2.837740340844905e-06 4.870369042326688e-07 2.0786935912610816e-06
2427.0 AEGIS 1.6654 11.02 1.5471331471119392 1.2064581420149934 0.0012672144814783468 0.0 0.000504487171705762 0.0 0.00020083996050831703 0.0 7.995582841204225e-05 0.0 3.183098861837907e-05 0.0 1.2672144814783456e-05 1.2672144814783456e-05 5.044871717057608e-06 2.0179486868230432e-05 4.016799210166333e-06 8.033598420332667e-06 1.5991165682408428e-06 6.396466272963371e-06 6.366197723675814e-07 4.45633840657307e-06 6.336072407391729e-07 5.449022270356887e-06 1.210769212093826e-06 7.466410141245261e-06 1.506299703812378e-06 6.768306669130285e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.2672144814783456e-07 6.652876027761315e-07 3.6575319948667666e-07 1.210769212093826e-06 2.9623894174976766e-07 1.3355857373803085e-06
2481.0 AEGIS 1.3613 11.0 1.8148822808088751 1.227517792208306 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.183098861837907e-05 0.0 1.2672144814783456e-05 0.0 1.0089743434115216e-05 0.0 6.0251988152494995e-06 0.0 8.795141125324635e-06 1.2732395447351628e-06 6.366197723675814e-06 1.6473788259218495e-06 4.561972133322045e-06 1.4630127979467067e-06 4.237692242328392e-06 1.0644517906940804e-06 3.6352032852005388e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.9988957103010535e-07 0.0 3.978873577297384e-07 1.2672144814783456e-07 6.019268787022142e-07 1.135096136337962e-07 9.711378055335898e-07 1.506299703812378e-07 8.585908311730554e-07
2918.0 AEGIS 2.0708 11.53 1.6208177297113988 1.3071521335511915 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.183098861837907e-05 0.0 2.534428962956691e-05 0.0 2.0179486868230432e-05 0.0 1.4058797235582165e-05 0.0 1.2792932545926743e-05 1.2732395447351628e-06 7.321127382227186e-06 1.1404930333305112e-06 6.589515303687398e-06 9.080769090703696e-07 5.751153757445674e-06 5.623518894232877e-07 4.036883206217173e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.995582841204214e-07 0.0 4.77464829275686e-07 3.168036203695864e-08 9.187304990718006e-07 1.135096136337962e-07 1.059423060582098e-06 1.6067196840665365e-07 1.3556697334311402e-06
