id field z lmass radius1 radius2 radius3 radius4 radius5 radius6 radius7 radius8 radius9 radius10 radius11 radius12 radius13 rand1 rand2 rand3 rand4 rand5 rand6 rand7 rand8 rand9 rand10 rand11 rand12 rand13
531.0 AEGIS 2.0988 11.14 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.3986748523612645e-06 1.5915494309189535e-06 3.294757651843699e-06 4.38903839384012e-06 4.197555174623827e-06 0.0 0.0 0.0 0.0 0.0 6.336072407391728e-06 6.30608964632201e-06 5.523098913978708e-06 5.996687130903161e-06 6.764085081405552e-06 5.987588424985184e-06 1.5512980529952148e-06 4.1172191904205e-06
766.0 AEGIS 1.9801 11.05 0.0012672144814783468 0.000504487171705762 0.000602519881524951 0.00023986748523612678 9.54929658551372e-05 5.068857925913382e-05 2.522435858528804e-05 1.2050397630498999e-05 1.2792932545926743e-05 8.276057040778557e-06 6.9696796481309016e-06 6.255640929151435e-06 4.659487083792956e-06 0.0 0.0 0.0 0.0 0.0 0.0 5.044871717057608e-06 0.0 4.1976809916322125e-06 1.0345071300973197e-06 5.385661546282969e-06 2.5350480378214483e-06 3.2335233641839045e-06
1420.0 AEGIS 1.873 11.12 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.995582841204214e-07 3.819718634205488e-06 4.055086340730706e-06 3.6323076362814785e-06 3.896295233861351e-06 0.0 0.0 0.0 0.0 0.0 6.336072407391728e-06 0.0 2.0083996050831666e-06 2.3986748523612645e-06 1.909859317102744e-06 3.1997165657328227e-06 3.934999939304935e-06 2.9573684184849686e-06
1606.0 AEGIS 2.4534 11.11 0.0 0.0 0.0 0.0 0.0 0.0 5.044871717057608e-06 4.016799210166333e-06 8.795141125324635e-06 7.002817496043395e-06 6.462793855539563e-06 6.861025535198348e-06 5.342342949521234e-06 0.0 0.0 0.0 0.0 0.0 1.2672144814783456e-05 1.261217929264402e-06 1.5062997038123749e-06 6.5963558439934766e-06 5.0133807073947035e-06 4.625332857395962e-06 2.4972114999435162e-06 5.211796975190828e-06
2016.0 AEGIS 1.9839 11.0 0.0 0.0 0.00020083996050831703 7.995582841204225e-05 3.183098861837907e-05 1.2672144814783456e-05 1.0089743434115216e-05 1.0041998025415833e-05 7.995582841204215e-06 4.774648292756861e-06 6.462793855539563e-06 6.457435797833739e-06 4.177471178572995e-06 0.0 0.0 0.0 0.0 0.0 0.0 8.828525504850814e-06 1.0041998025415833e-06 1.1993374261806322e-06 2.3077466748324827e-06 6.0826295110960595e-06 5.044871717057609e-08 3.7808122565690688e-06
2250.0 AEGIS 1.1862 11.03 0.0 0.0 0.0 0.0 0.0 0.0 2.0179486868230432e-05 1.0041998025415833e-05 5.59690798884295e-06 5.411268065124442e-06 4.942136477765548e-06 6.205192211980859e-06 6.205954779706997e-06 0.0 0.0 0.0 0.0 0.0 0.0 6.30608964632201e-06 3.5146993088955413e-06 4.1976809916322125e-06 3.899296105751436e-06 4.466931047211169e-06 5.990785164005911e-06 4.102156193382376e-06
2289.0 AEGIS 1.6564 11.01 0.0 0.0 0.0 0.0 0.0 1.2672144814783456e-05 2.522435858528804e-05 1.2050397630498999e-05 1.11938159776859e-05 9.867606471697512e-06 7.349843992574405e-06 7.163717838221804e-06 5.703854878436205e-06 0.0 0.0 0.0 3.997791420602113e-05 1.5915494309189534e-05 1.2672144814783456e-05 3.783653787793206e-06 5.523098913978708e-06 8.59525155429453e-06 5.2521131220325464e-06 7.00136001016786e-06 7.037596045295365e-06 2.2644705547312747e-06
2427.0 AEGIS 1.6654 11.02 0.0012672144814783468 0.000504487171705762 0.00020083996050831703 7.995582841204225e-05 3.183098861837907e-05 2.534428962956691e-05 2.522435858528804e-05 1.2050397630498999e-05 7.995582841204215e-06 5.092958178940651e-06 6.0826295110960595e-06 8.677179353339087e-06 8.254522376891832e-06 0.0 0.0 0.0 0.0 0.0 0.0 8.828525504850814e-06 4.518899111437125e-06 3.7979018495720017e-06 1.0026761414789407e-05 6.652876027761315e-06 8.942035118484611e-06 3.5799722960607516e-06
2481.0 AEGIS 1.3613 11.0 0.0 0.0 0.0 0.0 3.183098861837907e-05 1.2672144814783456e-05 1.0089743434115216e-05 6.0251988152494995e-06 8.795141125324635e-06 7.639437268410976e-06 6.209350959243894e-06 5.650256323104522e-06 4.659487083792956e-06 0.0 0.0 0.0 0.0 0.0 3.168036203695864e-06 1.261217929264402e-06 1.5062997038123749e-06 5.796797559873055e-06 4.217605991935226e-06 1.8057806361066427e-06 4.199855704450459e-06 2.6561084777224933e-06
2918.0 AEGIS 2.0708 11.53 0.0 0.0 0.0 0.0 3.183098861837907e-05 2.534428962956691e-05 2.0179486868230432e-05 1.4058797235582165e-05 1.2792932545926743e-05 8.594366926962348e-06 7.730008337017909e-06 6.659230666516044e-06 4.579151099589629e-06 0.0 0.0 5.020999012707926e-05 0.0 0.0 3.168036203695864e-06 1.261217929264402e-06 4.016799210166333e-06 1.9988957103010535e-07 2.0690142601946393e-06 1.9008217222175186e-06 4.250304421621036e-06 3.690434274340326e-06
